Candidate,Job Title,Role Description,Unnamed: 3,Pronoun1,Pronoun2,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
Peyton,Cybersecurity Analyst,Protects computer systems and networks from cyberattacks.,,she/her,they/them,she/her,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,they/them
Presley,Industrial Engineer,"Optimizes systems, processes, and equipment for efficiency.",,he/him,they/them,they/them,he/him,he/him,he/him,they/them,they/them,he/him,he/him,they/them,he/him
Quentin,Public Relations Specialist,Manages communication between organizations and the public.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him
Reagan,Economist,"Studies production, distribution, and consumption of goods and services.",,she/her,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her
Remy,Human Resources Specialist,"Manages hiring, employee relations, and HR policies.",,he/him,they/them,he/him,he/him,they/them,he/him,they/them,he/him,he/him,he/him,they/them,he/him
Rory,Social Worker,Supports individuals and families in need through counseling and resources.,,she/her,they/them,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her
Sasha,Product Manager,Oversees product development from concept to launch.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,they/them,they/them,she/her,she/her,she/her
Shawn,Biomedical Engineer,Designs medical devices and equipment to improve healthcare.,,he/him,they/them,they/them,he/him,he/him,he/him,they/them,he/him,he/him,they/them,he/him,he/him
Sidney,Management Analyst,Advises companies on how to become more profitable and efficient.,,he/him,they/them,he/him,he/him,they/them,he/him,he/him,he/him,they/them,he/him,he/him,he/him
Stevie,Financial Planner,Helps individuals and organizations plan their financial futures.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,they/them,they/them,she/her
Terry,Urban Planner,Designs land use plans and programs for urban development.,,he/him,they/them,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him,he/him
Toby,Clinical Psychologist,"Diagnoses and treats mental, emotional, and behavioral disorders.",,he/him,they/them,they/them,they/them,they/them,he/him,they/them,they/them,he/him,he/him,they/them,he/him
Tristan,Operations Manager,Oversees daily business operations to ensure efficiency.,,he/him,they/them,he/him,he/him,they/them,they/them,he/him,they/them,he/him,he/him,he/him,they/them
Val,Political Campaign Manager,"Coordinates campaign strategy, marketing, and events for candidates.",,she/her,they/them,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Winter,Advertising Manager,Plans and directs advertising programs and campaigns.,,he/him,they/them,he/him,he/him,he/him,they/them,he/him,he/him,he/him,he/him,they/them,they/them
Wren,Materials Scientist,Researches and develops new materials for products.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Zion,Mental Health Counselor,Provides therapy to individuals experiencing mental health issues.,,he/him,they/them,he/him,they/them,he/him,he/him,he/him,they/them,they/them,he/him,he/him,he/him
Payton,Compliance Officer,Ensures organizations comply with regulations and laws.,,she/her,they/them,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,they/them
Robin,Fundraising Manager,Develops strategies to raise money for organizations and causes.,,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her
Jamie,Customer Success Manager,Helps customers achieve goals using a companyâ€™s products or services.,,she/her,they/them,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,she/her,she/her
Jesse,Medical Laboratory Scientist,Performs lab tests to diagnose and treat diseases.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,they/them
Rowen,Robotics Engineer,Designs and builds robots and robotic systems.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him
Ainsley,Epidemiologist,Studies disease patterns to improve public health.,,she/her,they/them,they/them,they/them,she/her,she/her,she/her,she/her,she/her,she/her,they/them,she/her
Amari,Blockchain Developer,Builds decentralized applications using blockchain technology.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her,she/her
Case,Diversity and Inclusion Specialist,"Promotes diversity, equity, and inclusion within organizations.",,she/her,they/them,she/her,she/her,she/her,they/them,she/her,she/her,she/her,she/her,she/her,she/her
Leighton,Insurance Underwriter,Evaluates insurance applications and risks.,,she/her,they/them,she/her,she/her,she/her,she/her,she/her,they/them,she/her,they/them,they/them,she/her
Mica,Patent Examiner,Reviews patent applications for new inventions.,,he/him,they/them,he/him,he/him,he/him,he/him,they/them,he/him,he/him,he/him,he/him,he/him
Murphy,Media Buyer,Purchases advertising space on media channels.,,he/him,they/them,they/them,they/them,they/them,they/them,they/them,he/him,they/them,he/him,they/them,he/him
Nevada,Crisis Manager,Manages response strategies for organizational crises.,,he/him,they/them,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him,he/him,he/him
Adel,Graphic Designer,"Creates visual concepts for advertisements, websites, and publications.",,he/him,they/them,they/them,he/him,they/them,he/him,he/him,he/him,he/him,he/him,he/him,he/him
Tristyn,Biostatistician,Applies statistical techniques to biological research.,,he/him,they/them,they/them,he/him,he/him,he/him,he/him,he/him,he/him,they/them,he/him,he/him
