Candidate,Job Title,Role Description,Pronoun1,Pronoun2,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
Indigo,Speech Therapist,"Diagnoses and treats speech, language, and communication disorders.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Jaiden,Food Scientist,"Studies and improves food quality, safety, and nutrition.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Jules,Forensic Analyst,Examines crime scene evidence for use in investigations.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Justice,UX Designer,Designs user-friendly and intuitive digital interfaces.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Karter,Pharmacist,Dispenses medications and provides health advice to patients.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Kendall,Logistics Coordinator,Manages supply chain operations to ensure efficient delivery of goods.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Lennon,Environmental Scientist,Studies environmental conditions and advises on policies to protect nature.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Leslie,Translator,Converts written or spoken content from one language to another.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
London,Museum Curator,Manages collections and organizes exhibitions in museums.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Luca,Copywriter,Writes promotional and advertising content for brands.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Marlowe,Research Scientist,Conducts experiments and analyzes results to advance knowledge in a field.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Monroe,Data Engineer,Builds and manages systems for collecting and storing data.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Nico,Business Consultant,Advises organizations on strategies to improve efficiency and profitability.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Noel,Healthcare Administrator,Manages operations of healthcare facilities like hospitals and clinics.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Oakley,Content Strategist,Plans and manages content creation and publication for brands.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Peyton,Cybersecurity Analyst,Protects computer systems and networks from cyberattacks.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Presley,Industrial Engineer,"Optimizes systems, processes, and equipment for efficiency.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Quentin,Public Relations Specialist,Manages communication between organizations and the public.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Reagan,Economist,"Studies production, distribution, and consumption of goods and services.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Remy,Human Resources Specialist,"Manages hiring, employee relations, and HR policies.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Rory,Social Worker,Supports individuals and families in need through counseling and resources.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Sasha,Product Manager,Oversees product development from concept to launch.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Shawn,Biomedical Engineer,Designs medical devices and equipment to improve healthcare.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Sidney,Management Analyst,Advises companies on how to become more profitable and efficient.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Stevie,Financial Planner,Helps individuals and organizations plan their financial futures.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Terry,Urban Planner,Designs land use plans and programs for urban development.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Toby,Clinical Psychologist,"Diagnoses and treats mental, emotional, and behavioral disorders.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Tristan,Operations Manager,Oversees daily business operations to ensure efficiency.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Val,Political Campaign Manager,"Coordinates campaign strategy, marketing, and events for candidates.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Winter,Advertising Manager,Plans and directs advertising programs and campaigns.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Wren,Materials Scientist,Researches and develops new materials for products.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Zion,Mental Health Counselor,Provides therapy to individuals experiencing mental health issues.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Payton,Compliance Officer,Ensures organizations comply with regulations and laws.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Robin,Fundraising Manager,Develops strategies to raise money for organizations and causes.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Jamie,Customer Success Manager,Helps customers achieve goals using a company’s products or services.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Jesse,Medical Laboratory Scientist,Performs lab tests to diagnose and treat diseases.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Rowen,Robotics Engineer,Designs and builds robots and robotic systems.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Ainsley,Epidemiologist,Studies disease patterns to improve public health.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Amari,Blockchain Developer,Builds decentralized applications using blockchain technology.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Case,Diversity and Inclusion Specialist,"Promotes diversity, equity, and inclusion within organizations.",they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Leighton,Insurance Underwriter,Evaluates insurance applications and risks.,they/them,she/her,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Mica,Patent Examiner,Reviews patent applications for new inventions.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Murphy,Media Buyer,Purchases advertising space on media channels.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Nevada,Crisis Manager,Manages response strategies for organizational crises.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Adel,Graphic Designer,"Creates visual concepts for advertisements, websites, and publications.",they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
Tristyn,Biostatistician,Applies statistical techniques to biological research.,they/them,he/him,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them,they/them
