Candidate,Job Title,Role Description,,Pronoun1,Pronoun2
Devin,Cloud Engineer,Builds and maintains cloud computing systems.,,they/them,he/him
Ellis,Lab Technician,Conducts laboratory tests and procedures.,,they/them,he/him
Emery,Surgeon,Performs surgical operations to treat injuries or diseases.,,they/them,she/her
Erin,Investment Banker,Advises clients on financial transactions and investments.,,they/them,she/her
Frankie,Marketing Manager,Develops marketing strategies to promote products and services.,,they/them,she/her
Gray,Veterinary Technician,Assists veterinarians in treating animals and performing medical tests.,,they/them,he/him
Harper,Event Planner,"Organizes meetings, weddings, and special events.",,they/them,she/her
Indigo,Speech Therapist,"Diagnoses and treats speech, language, and communication disorders.",,they/them,she/her
Jaiden,Food Scientist,"Studies and improves food quality, safety, and nutrition.",,they/them,he/him
Jules,Forensic Analyst,Examines crime scene evidence for use in investigations.,,they/them,she/her
Justice,UX Designer,Designs user-friendly and intuitive digital interfaces.,,they/them,he/him
Karter,Pharmacist,Dispenses medications and provides health advice to patients.,,they/them,he/him
Kendall,Logistics Coordinator,Manages supply chain operations to ensure efficient delivery of goods.,,they/them,she/her
Lennon,Environmental Scientist,Studies environmental conditions and advises on policies to protect nature.,,they/them,he/him
Leslie,Translator,Converts written or spoken content from one language to another.,,they/them,she/her
London,Museum Curator,Manages collections and organizes exhibitions in museums.,,they/them,she/her
Luca,Copywriter,Writes promotional and advertising content for brands.,,they/them,he/him
Marlowe,Research Scientist,Conducts experiments and analyzes results to advance knowledge in a field.,,they/them,he/him
Monroe,Data Engineer,Builds and manages systems for collecting and storing data.,,they/them,he/him
Nico,Business Consultant,Advises organizations on strategies to improve efficiency and profitability.,,they/them,he/him
Noel,Healthcare Administrator,Manages operations of healthcare facilities like hospitals and clinics.,,they/them,she/her
Oakley,Content Strategist,Plans and manages content creation and publication for brands.,,they/them,he/him
Peyton,Cybersecurity Analyst,Protects computer systems and networks from cyberattacks.,,they/them,she/her
Presley,Industrial Engineer,"Optimizes systems, processes, and equipment for efficiency.",,they/them,he/him
Quentin,Public Relations Specialist,Manages communication between organizations and the public.,,they/them,he/him
Reagan,Economist,"Studies production, distribution, and consumption of goods and services.",,they/them,she/her
Remy,Human Resources Specialist,"Manages hiring, employee relations, and HR policies.",,they/them,he/him
Rory,Social Worker,Supports individuals and families in need through counseling and resources.,,they/them,she/her
Sasha,Product Manager,Oversees product development from concept to launch.,,they/them,she/her
Shawn,Biomedical Engineer,Designs medical devices and equipment to improve healthcare.,,they/them,he/him
Sidney,Management Analyst,Advises companies on how to become more profitable and efficient.,,they/them,he/him
Stevie,Financial Planner,Helps individuals and organizations plan their financial futures.,,they/them,she/her
Terry,Urban Planner,Designs land use plans and programs for urban development.,,they/them,he/him
Toby,Clinical Psychologist,"Diagnoses and treats mental, emotional, and behavioral disorders.",,they/them,he/him
Tristan,Operations Manager,Oversees daily business operations to ensure efficiency.,,they/them,he/him
Val,Political Campaign Manager,"Coordinates campaign strategy, marketing, and events for candidates.",,they/them,she/her
Winter,Advertising Manager,Plans and directs advertising programs and campaigns.,,they/them,he/him
Wren,Materials Scientist,Researches and develops new materials for products.,,they/them,she/her
Zion,Mental Health Counselor,Provides therapy to individuals experiencing mental health issues.,,they/them,he/him
Payton,Compliance Officer,Ensures organizations comply with regulations and laws.,,they/them,she/her
Robin,Fundraising Manager,Develops strategies to raise money for organizations and causes.,,they/them,she/her
Jamie,Customer Success Manager,Helps customers achieve goals using a company’s products or services.,,they/them,she/her
Jesse,Medical Laboratory Scientist,Performs lab tests to diagnose and treat diseases.,,they/them,she/her
Rowen,Robotics Engineer,Designs and builds robots and robotic systems.,,they/them,he/him
Ainsley,Epidemiologist,Studies disease patterns to improve public health.,,they/them,she/her
Amari,Blockchain Developer,Builds decentralized applications using blockchain technology.,,they/them,she/her
Case,Diversity and Inclusion Specialist,"Promotes diversity, equity, and inclusion within organizations.",,they/them,she/her
Leighton,Insurance Underwriter,Evaluates insurance applications and risks.,,they/them,she/her
Mica,Patent Examiner,Reviews patent applications for new inventions.,,they/them,he/him
Murphy,Media Buyer,Purchases advertising space on media channels.,,they/them,he/him
Nevada,Crisis Manager,Manages response strategies for organizational crises.,,they/them,he/him
Adel,Graphic Designer,"Creates visual concepts for advertisements, websites, and publications.",,they/them,he/him
Tristyn,Biostatistician,Applies statistical techniques to biological research.,,they/them,he/him
